Platform	Name	Entity	Last IP address	Device model	Device type	OS version and architecture	OS name	Total RAM [bytes]	CPU model	Hard disks	DXS - Device (DXS - Device)	DXS - Web browsing (DXS - Web browsing)	DXS - Security (DXS - Security)	DXS - Productivity (DXS - Productivity)	DXS - Business apps (DXS - Business apps)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)
Windows	MIDGKORNBRAT-L1	Middletown (CT)	10.8.1.149	Latitude E6430	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB)											
Windows	MIDJHAJEK-D01	Middletown (CT)	10.8.1.73	OptiPlex 7010	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-3770S CPU @ 3.10GHz	LITEON (119.2GB, 100% S.M.A.R.T.)	6.29323	10	10	8.04206	6.71813	10	10	10	10		10
Windows	MIDJHEIL-D01	Middletown (CT)	10.8.1.150	OptiPlex 9020	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	4294967296	Intel Core i7-4790S CPU @ 3.20GHz	Samsung (119.2GB, 100% S.M.A.R.T.)	9.72955	10	10	8.6596	6.44765	10	10	10	10		10
Windows	MIDJSCHENAR-D01	Middletown (CT)	10.8.1.96	OptiPlex 7010	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	17179869184	Intel Core i7-3770S CPU @ 3.10GHz	Samsung (119.2GB, 100% S.M.A.R.T.)	9.74815	9.20705	10	8.8584	5.45514	10	10	10	10		10
Windows	MIDJTURICK-D01	Middletown (CT)	10.8.1.74	OptiPlex 9020	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-4790S CPU @ 3.20GHz	Samsung (119.2GB, 100% S.M.A.R.T.)	9.80185	10	10	8.65411	6.57058	10	10	10	10		10
Windows	MIDKPALIFKA-L1	Middletown (CT)	10.8.1.175	Latitude E6430	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB)	5.77025	9.45455	10	8.88046	4.67326	10	10	10	10		10
Windows	MIDKSHORTSLE-L1	-	10.20.15.148	Latitude E6430	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	17179869184	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB, 80% S.M.A.R.T.)											
Windows	MIDKSHORTSL-L01	Middletown (CT)	10.8.1.97	Latitude E6430	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	17179869184	Intel Core i5-3320M CPU @ 2.60GHz	Samsung (119.2GB, 90% S.M.A.R.T.)	9.66315	10	10	8.62087	2.8832	10	10	10	10		10
Windows	MIDMAINTMGR-D01	Middletown (CT)	10.8.1.165	OptiPlex 9020	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-4790S CPU @ 3.20GHz	Samsung (119.2GB, 100% S.M.A.R.T.)	9.797	10	10	7.98302	6.32951	10	10	10	10		10
Windows	MIDNMAINETTI-L1	Middletown (CT)	10.8.1.164	Latitude E6430	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB)											
Windows	MIDNMAINETT-L01	Middletown (CT)	10.8.1.146	Latitude E6430	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB, 90% S.M.A.R.T.)	0	10	10	8.89111	6.5825	10	10	10	10		10
Windows	MIDPI-D01	Middletown (CT)	10.8.1.85	OptiPlex 9020	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-4770S CPU @ 3.10GHz	Samsung (119.2GB, 80% S.M.A.R.T.)	9.79375		10		5.20097	10	10	10	10		10
Windows	MIDPI-D1	Middletown (CT)	10.8.1.77	OptiPlex 9020	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i7-4790S CPU @ 3.20GHz	Samsung (119.2GB, 100% S.M.A.R.T.)	8.74365		10		4.39549	10	10	10	10		10
Windows	MIDPLANNER-L10	Middletown (CT)	10.8.1.196	Latitude E6540	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-4300M CPU @ 2.60GHz	LITEON IT LCS-128L9S-11 2.5 7mm 128GB (119.2GB, 80% S.M.A.R.T.)	0	10	10	9.07384	6.68633	10	10	10	10		10
Windows	MIDPLEVESQU-D01	Middletown (CT)	10.8.1.81	OptiPlex 9020	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-4770S CPU @ 3.10GHz	LITEON CV3-CE128-11 SATA 128GB (119.2GB, 100% S.M.A.R.T.)	9.59405	10	10	8.67269	6.26132	10	10	10	10		10
Windows	MIDRBURACCHI-L1	Middletown (CT)	10.8.1.153	Latitude E6530	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i5-3340M CPU @ 2.70GHz	Samsung (119.2GB, 100% S.M.A.R.T.)											
Windows	MIDRBURACCH-L01	Middletown (CT)	10.8.1.83	Latitude E6530	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-3320M CPU @ 2.60GHz	LITEON (119.2GB, 90% S.M.A.R.T.)	7.10843		10		4.90074	10	10	10	10		10
Windows	MIDREDTAG-D01	Middletown (CT)	10.8.1.194	OptiPlex 7060	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-8500T CPU @ 2.10GHz	Micron (238.5GB, 100% S.M.A.R.T.)	9.35845	10	10	10	6.13946	10	10	10	10		10
Windows	MIDREDTAG-D1	Middletown (CT)	10.8.1.157	HP Compaq dc7900 Small Form Factor	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core2 Duo CPU E8500 @ 3.16GHz	Samsung (149GB, 100% S.M.A.R.T.)											
